D:\OneDrive\Êý¾Ý¼¯\Librispeech\train-clean-5
1088\134315\1088-134315-0000.flac	256640
1088\134315\1088-134315-0001.flac	243760
1088\134315\1088-134315-0002.flac	201440
1088\134315\1088-134315-0003.flac	188400
1088\134315\1088-134315-0004.flac	215200
1088\134315\1088-134315-0005.flac	193040
1088\134315\1088-134315-0006.flac	243040
1088\134315\1088-134315-0007.flac	225360
1088\134315\1088-134315-0008.flac	244000
1088\134315\1088-134315-0009.flac	202000
1088\134315\1088-134315-0010.flac	256160
1088\134315\1088-134315-0011.flac	190000
1088\134315\1088-134315-0012.flac	216800
1088\134315\1088-134315-0013.flac	137759
1088\134315\1088-134315-0014.flac	247760
1088\134315\1088-134315-0015.flac	236160
1088\134315\1088-134315-0016.flac	195200
1088\134315\1088-134315-0017.flac	242240
1088\134315\1088-134315-0018.flac	94800
1088\134315\1088-134315-0019.flac	189520
1088\134315\1088-134315-0020.flac	97440
1088\134315\1088-134315-0021.flac	248160
1088\134315\1088-134315-0022.flac	219760
1088\134315\1088-134315-0023.flac	51840
1088\134315\1088-134315-0024.flac	245920
1088\134315\1088-134315-0025.flac	230640
1088\134315\1088-134315-0026.flac	192080
1088\134315\1088-134315-0027.flac	220240
1088\134315\1088-134315-0028.flac	213280
1088\134315\1088-134315-0029.flac	220080
1088\134315\1088-134315-0030.flac	246000
1088\134315\1088-134315-0031.flac	247760
1088\134315\1088-134315-0032.flac	251920
1088\134315\1088-134315-0033.flac	203200
1088\134315\1088-134315-0034.flac	253840
1088\134315\1088-134315-0035.flac	228080
1088\134315\1088-134315-0036.flac	230880
1088\134315\1088-134315-0037.flac	250880
1088\134315\1088-134315-0038.flac	215760
1088\134315\1088-134315-0039.flac	145360
1088\134315\1088-134315-0040.flac	169120
1088\134315\1088-134315-0041.flac	241120
1088\134315\1088-134315-0042.flac	266240
1088\134315\1088-134315-0043.flac	211920
1088\134315\1088-134315-0044.flac	234160
1088\134315\1088-134315-0045.flac	205360
1088\134315\1088-134315-0046.flac	70000
1088\134315\1088-134315-0047.flac	248400
1088\134315\1088-134315-0048.flac	220080
1088\134315\1088-134315-0049.flac	234400
1088\134315\1088-134315-0050.flac	226480
1088\134315\1088-134315-0051.flac	235440
1088\134315\1088-134315-0052.flac	242960
1088\134315\1088-134315-0053.flac	250720
1088\134315\1088-134315-0054.flac	235120
1088\134315\1088-134315-0055.flac	44560
1088\134315\1088-134315-0056.flac	182000
1088\134315\1088-134315-0057.flac	216400
1088\134315\1088-134315-0058.flac	250000
1088\134318\1088-134318-0000.flac	210960
1088\134318\1088-134318-0001.flac	195760
1088\134318\1088-134318-0002.flac	200640
1088\134318\1088-134318-0003.flac	220560
1088\134318\1088-134318-0004.flac	125360
1088\134318\1088-134318-0005.flac	120480
1088\134318\1088-134318-0006.flac	261920
1088\134318\1088-134318-0007.flac	256800
1088\134318\1088-134318-0008.flac	240480
1088\134318\1088-134318-0009.flac	255280
1088\134318\1088-134318-0010.flac	225680
1088\134318\1088-134318-0011.flac	212400
1088\134318\1088-134318-0012.flac	245200
1088\134318\1088-134318-0013.flac	243120
1088\134318\1088-134318-0014.flac	226800
1088\134318\1088-134318-0015.flac	253600
1088\134318\1088-134318-0016.flac	184240
1088\134318\1088-134318-0017.flac	233760
1088\134318\1088-134318-0018.flac	254720
1088\134318\1088-134318-0019.flac	232800
1088\134318\1088-134318-0020.flac	232960
1088\134318\1088-134318-0021.flac	250640
118\47824\118-47824-0000.flac	240160
118\47824\118-47824-0001.flac	229440
118\47824\118-47824-0002.flac	63440
118\47824\118-47824-0003.flac	204000
118\47824\118-47824-0004.flac	178400
118\47824\118-47824-0005.flac	252320
118\47824\118-47824-0006.flac	258320
118\47824\118-47824-0007.flac	242319
118\47824\118-47824-0008.flac	264321
118\47824\118-47824-0009.flac	239600
118\47824\118-47824-0010.flac	152720
118\47824\118-47824-0011.flac	215360
118\47824\118-47824-0012.flac	172880
118\47824\118-47824-0013.flac	73120
118\47824\118-47824-0014.flac	222480
118\47824\118-47824-0015.flac	48720
118\47824\118-47824-0016.flac	250480
118\47824\118-47824-0017.flac	244240
118\47824\118-47824-0018.flac	224480
118\47824\118-47824-0019.flac	177280
118\47824\118-47824-0020.flac	120720
118\47824\118-47824-0021.flac	47760
118\47824\118-47824-0022.flac	47120
118\47824\118-47824-0023.flac	80240
118\47824\118-47824-0024.flac	188320
118\47824\118-47824-0025.flac	68800
118\47824\118-47824-0026.flac	39040
118\47824\118-47824-0027.flac	192960
118\47824\118-47824-0028.flac	107600
118\47824\118-47824-0029.flac	243680
118\47824\118-47824-0030.flac	43920
118\47824\118-47824-0031.flac	149840
118\47824\118-47824-0032.flac	59920
118\47824\118-47824-0033.flac	233840
118\47824\118-47824-0034.flac	246720
118\47824\118-47824-0035.flac	31840
118\47824\118-47824-0036.flac	79840
118\47824\118-47824-0037.flac	139680
118\47824\118-47824-0038.flac	248481
118\47824\118-47824-0039.flac	224400
118\47824\118-47824-0040.flac	51600
118\47824\118-47824-0041.flac	190720
118\47824\118-47824-0042.flac	190880
118\47824\118-47824-0043.flac	242320
118\47824\118-47824-0044.flac	131200
118\47824\118-47824-0045.flac	140880
118\47824\118-47824-0046.flac	76960
118\47824\118-47824-0047.flac	243760
118\47824\118-47824-0048.flac	238720
118\47824\118-47824-0049.flac	234400
118\47824\118-47824-0050.flac	200480
118\47824\118-47824-0051.flac	260880
118\47824\118-47824-0052.flac	233600
118\47824\118-47824-0053.flac	206800
118\47824\118-47824-0054.flac	154320
118\47824\118-47824-0055.flac	216960
118\47824\118-47824-0056.flac	80240
118\47824\118-47824-0057.flac	246800
118\47824\118-47824-0058.flac	153360
118\47824\118-47824-0059.flac	216960
118\47824\118-47824-0060.flac	44240
118\47824\118-47824-0061.flac	144640
118\47824\118-47824-0062.flac	250160
118\47824\118-47824-0063.flac	171360
118\47824\118-47824-0064.flac	166400
118\47824\118-47824-0065.flac	52800
118\47824\118-47824-0066.flac	259120
118\47824\118-47824-0067.flac	252960
118\47824\118-47824-0068.flac	215120
118\47824\118-47824-0069.flac	206320
118\47824\118-47824-0070.flac	261520
118\47824\118-47824-0071.flac	47280
118\47824\118-47824-0072.flac	125600
118\47824\118-47824-0073.flac	39600
118\47824\118-47824-0074.flac	211280
118\47824\118-47824-0075.flac	245360
118\47824\118-47824-0076.flac	160161
118\47824\118-47824-0077.flac	259040
118\47824\118-47824-0078.flac	228000
118\47824\118-47824-0079.flac	158880
118\47824\118-47824-0080.flac	246080
118\47824\118-47824-0081.flac	239200
118\47824\118-47824-0082.flac	127360
118\47824\118-47824-0083.flac	211920
118\47824\118-47824-0084.flac	140160
118\47824\118-47824-0085.flac	52960
118\47824\118-47824-0086.flac	68400
163\122947\163-122947-0000.flac	64480
163\122947\163-122947-0001.flac	235600
163\122947\163-122947-0002.flac	237520
163\122947\163-122947-0003.flac	244880
163\122947\163-122947-0004.flac	211600
163\122947\163-122947-0005.flac	235040
163\122947\163-122947-0006.flac	47760
163\122947\163-122947-0007.flac	154080
163\122947\163-122947-0008.flac	128240
163\122947\163-122947-0009.flac	252720
163\122947\163-122947-0010.flac	216080
163\122947\163-122947-0011.flac	246320
163\122947\163-122947-0012.flac	73680
163\122947\163-122947-0013.flac	261840
163\122947\163-122947-0014.flac	69360
163\122947\163-122947-0015.flac	145680
163\122947\163-122947-0016.flac	223680
163\122947\163-122947-0017.flac	196800
163\122947\163-122947-0018.flac	221120
163\122947\163-122947-0019.flac	210400
163\122947\163-122947-0020.flac	234560
163\122947\163-122947-0021.flac	217120
163\122947\163-122947-0022.flac	60800
163\122947\163-122947-0023.flac	130640
163\122947\163-122947-0024.flac	259920
163\122947\163-122947-0025.flac	252080
163\122947\163-122947-0026.flac	238400
163\122947\163-122947-0027.flac	221360
163\122947\163-122947-0028.flac	252800
163\122947\163-122947-0029.flac	234400
163\122947\163-122947-0030.flac	259840
163\122947\163-122947-0031.flac	233040
163\122947\163-122947-0032.flac	218480
163\122947\163-122947-0033.flac	242160
163\122947\163-122947-0034.flac	219840
163\122947\163-122947-0035.flac	218240
163\122947\163-122947-0036.flac	179840
163\122947\163-122947-0037.flac	262880
163\122947\163-122947-0038.flac	250640
163\122947\163-122947-0039.flac	239200
163\122947\163-122947-0040.flac	222560
163\122947\163-122947-0041.flac	233440
163\122947\163-122947-0042.flac	234640
163\122947\163-122947-0043.flac	232960
163\122947\163-122947-0044.flac	244160
163\122947\163-122947-0045.flac	229360
163\122947\163-122947-0046.flac	209680
163\122947\163-122947-0047.flac	218720
163\122947\163-122947-0048.flac	197520
163\122947\163-122947-0049.flac	191520
163\122947\163-122947-0050.flac	249600
163\122947\163-122947-0051.flac	254080
163\122947\163-122947-0052.flac	241920
163\122947\163-122947-0053.flac	212320
163\122947\163-122947-0054.flac	247200
163\122947\163-122947-0055.flac	180880
163\122947\163-122947-0056.flac	247600
163\122947\163-122947-0057.flac	225120
163\122947\163-122947-0058.flac	214160
163\122947\163-122947-0059.flac	174081
163\122947\163-122947-0060.flac	245280
163\122947\163-122947-0061.flac	197920
163\122947\163-122947-0062.flac	227040
163\122947\163-122947-0063.flac	231280
163\122947\163-122947-0064.flac	235120
163\122947\163-122947-0065.flac	233600
163\122947\163-122947-0066.flac	261360
163\122947\163-122947-0067.flac	231920
163\122947\163-122947-0068.flac	221600
163\122947\163-122947-0069.flac	233440
163\122947\163-122947-0070.flac	185120
163\122947\163-122947-0071.flac	260160
163\122947\163-122947-0072.flac	226000
163\122947\163-122947-0073.flac	215040
163\122947\163-122947-0074.flac	246560
163\122947\163-122947-0075.flac	247920
163\122947\163-122947-0076.flac	153040
163\122947\163-122947-0077.flac	214320
163\122947\163-122947-0078.flac	170799
163\122947\163-122947-0079.flac	252640
163\122947\163-122947-0080.flac	253520
163\122947\163-122947-0081.flac	211120
163\122947\163-122947-0082.flac	125680
163\122947\163-122947-0083.flac	189440
163\122947\163-122947-0084.flac	195280
163\122947\163-122947-0085.flac	221360
163\122947\163-122947-0086.flac	244960
163\122947\163-122947-0087.flac	241920
163\122947\163-122947-0088.flac	214640
163\122947\163-122947-0089.flac	193280
163\122947\163-122947-0090.flac	228800
163\122947\163-122947-0091.flac	230800
163\122947\163-122947-0092.flac	229760
163\122947\163-122947-0093.flac	225920
163\122947\163-122947-0094.flac	242640
163\122947\163-122947-0095.flac	213840
163\122947\163-122947-0096.flac	228640
163\122947\163-122947-0097.flac	229680
163\122947\163-122947-0098.flac	46320
1737\146161\1737-146161-0000.flac	222800
1737\146161\1737-146161-0001.flac	260880
1737\146161\1737-146161-0002.flac	259680
1737\146161\1737-146161-0003.flac	244640
1737\146161\1737-146161-0004.flac	246720
1737\146161\1737-146161-0005.flac	242160
1737\146161\1737-146161-0006.flac	138800
1737\146161\1737-146161-0007.flac	32480
1737\146161\1737-146161-0008.flac	236800
1737\146161\1737-146161-0009.flac	34800
1737\146161\1737-146161-0010.flac	68400
1737\146161\1737-146161-0011.flac	133360
1737\146161\1737-146161-0012.flac	243680
1737\146161\1737-146161-0013.flac	63760
1737\146161\1737-146161-0014.flac	105119
1737\146161\1737-146161-0015.flac	155120
1737\146161\1737-146161-0016.flac	234480
1737\146161\1737-146161-0017.flac	118560
1867\154075\1867-154075-0000.flac	235120
1867\154075\1867-154075-0001.flac	238400
1867\154075\1867-154075-0002.flac	219280
1867\154075\1867-154075-0003.flac	105760
1867\154075\1867-154075-0004.flac	180000
1867\154075\1867-154075-0005.flac	68320
1867\154075\1867-154075-0006.flac	210880
1867\154075\1867-154075-0007.flac	234640
1867\154075\1867-154075-0008.flac	246160
1867\154075\1867-154075-0009.flac	174800
1867\154075\1867-154075-0010.flac	154240
1867\154075\1867-154075-0011.flac	156480
1867\154075\1867-154075-0012.flac	199440
1867\154075\1867-154075-0013.flac	198560
1867\154075\1867-154075-0014.flac	35360
1867\154075\1867-154075-0015.flac	244719
1867\154075\1867-154075-0016.flac	173441
1867\154075\1867-154075-0017.flac	215600
1867\154075\1867-154075-0018.flac	257440
1867\154075\1867-154075-0019.flac	65120
1867\154075\1867-154075-0020.flac	233840
1867\154075\1867-154075-0021.flac	242400
1867\154075\1867-154075-0022.flac	209840
1867\154075\1867-154075-0023.flac	222320
1867\154075\1867-154075-0024.flac	211280
1867\154075\1867-154075-0025.flac	225280
1867\154075\1867-154075-0026.flac	226240
1867\154075\1867-154075-0027.flac	236880
1867\154075\1867-154075-0028.flac	262560
1867\154075\1867-154075-0029.flac	230960
1867\154075\1867-154075-0030.flac	230240
1867\154075\1867-154075-0031.flac	255200
1867\154075\1867-154075-0032.flac	257440
1867\154075\1867-154075-0033.flac	250560
1867\154075\1867-154075-0034.flac	238400
1867\154075\1867-154075-0035.flac	120400
1867\154075\1867-154075-0036.flac	236480
1867\154075\1867-154075-0037.flac	205600
1867\154075\1867-154075-0038.flac	173760
1867\154075\1867-154075-0039.flac	181280
1867\154075\1867-154075-0040.flac	212160
1867\154075\1867-154075-0041.flac	244560
1867\154075\1867-154075-0042.flac	181040
1867\154075\1867-154075-0043.flac	238960
1867\154075\1867-154075-0044.flac	45280
1867\154075\1867-154075-0045.flac	229120
1898\145715\1898-145715-0000.flac	227760
1898\145715\1898-145715-0001.flac	247680
1898\145715\1898-145715-0002.flac	76320
1898\145715\1898-145715-0003.flac	222400
1898\145715\1898-145715-0004.flac	115040
1898\145715\1898-145715-0005.flac	234400
1898\145715\1898-145715-0006.flac	164720
1898\145715\1898-145715-0007.flac	189440
1898\145715\1898-145715-0008.flac	240400
1898\145715\1898-145715-0009.flac	255280
1898\145715\1898-145715-0010.flac	176720
1898\145715\1898-145715-0011.flac	208880
1898\145715\1898-145715-0012.flac	223920
1898\145715\1898-145715-0013.flac	247760
1898\145715\1898-145715-0014.flac	173200
1898\145715\1898-145715-0015.flac	242880
1898\145715\1898-145715-0016.flac	149280
1898\145715\1898-145715-0017.flac	186080
1898\145715\1898-145715-0018.flac	202560
1898\145715\1898-145715-0019.flac	54960
1898\145715\1898-145715-0020.flac	245760
1898\145715\1898-145715-0021.flac	197600
1898\145715\1898-145715-0022.flac	267840
1898\145715\1898-145715-0023.flac	246480
1898\145715\1898-145715-0024.flac	236400
1898\145715\1898-145715-0025.flac	247040
1898\145715\1898-145715-0026.flac	257280
1898\145715\1898-145715-0027.flac	248000
1898\145715\1898-145715-0028.flac	228080
1898\145715\1898-145715-0029.flac	223600
1898\145715\1898-145715-0030.flac	125760
1898\145715\1898-145715-0031.flac	116400
1898\145715\1898-145715-0032.flac	240480
1898\145715\1898-145715-0033.flac	201440
1898\145715\1898-145715-0034.flac	208560
1898\145715\1898-145715-0035.flac	55120
1898\145715\1898-145715-0036.flac	253120
1898\145715\1898-145715-0037.flac	234960
1898\145715\1898-145715-0038.flac	229840
1898\145715\1898-145715-0039.flac	200480
1898\145715\1898-145715-0040.flac	157200
1898\145715\1898-145715-0041.flac	225040
1898\145715\1898-145715-0042.flac	158560
1898\145715\1898-145715-0043.flac	51840
1898\145715\1898-145715-0044.flac	159760
1898\145715\1898-145715-0045.flac	232880
1898\145715\1898-145715-0046.flac	117840
1898\145715\1898-145715-0047.flac	239440
1898\145715\1898-145715-0048.flac	208720
1898\145715\1898-145715-0049.flac	57440
1898\145715\1898-145715-0050.flac	219280
19\198\19-198-0000.flac	31440
19\198\19-198-0001.flac	188240
19\198\19-198-0002.flac	172720
19\198\19-198-0003.flac	247680
19\198\19-198-0004.flac	207840
19\198\19-198-0005.flac	230240
19\198\19-198-0006.flac	208080
19\198\19-198-0007.flac	226560
19\198\19-198-0008.flac	45760
19\198\19-198-0009.flac	236880
19\198\19-198-0010.flac	201600
19\198\19-198-0011.flac	223120
19\198\19-198-0012.flac	202480
19\198\19-198-0013.flac	240000
19\198\19-198-0014.flac	249120
19\198\19-198-0015.flac	238640
19\198\19-198-0016.flac	246320
19\198\19-198-0017.flac	250240
19\198\19-198-0018.flac	218400
19\198\19-198-0019.flac	208160
19\198\19-198-0020.flac	204720
19\198\19-198-0021.flac	260640
19\198\19-198-0022.flac	228400
19\198\19-198-0023.flac	229920
19\198\19-198-0024.flac	250560
